predicate,preds,TP,precision
was commanded by,1,0,0.0
was the date of,1,0,0.0
reported to be,1,0,0.0
see also,1,1,1.0
without did,1,1,1.0
wished,1,0,0.0
had wished,1,0,0.0
forged,1,1,1.0
chosen,0,2,2.0
released through,0,1,1.0
knighted,0,1,1.0
administered by,0,2,2.0
run by,0,1,1.0
revealed to,0,1,1.0
executed,0,2,2.0
in,0,3,3.0
a relationship with,0,2,2.0
united with,0,2,2.0
given,0,1,1.0
intended to,0,1,1.0
situated on,0,1,1.0
characterized by,0,2,2.0
primarily reached by,0,1,1.0
raised,0,2,2.0
widely distributed,0,1,1.0
founded by,0,1,1.0
renamed as,0,1,1.0
directed by,0,2,2.0
practiced at,0,2,2.0
launched by,0,1,1.0
sponsored by,0,1,1.0
connected with,0,1,1.0
bought by,0,1,1.0
promoted,0,1,1.0
been affected,0,1,1.0
sworn,0,1,1.0
reunited with,0,1,1.0
a mass of,0,1,1.0
abandoned,0,1,1.0
been operating,0,1,1.0
used to,0,1,1.0
re elected,0,1,1.0
served with,0,2,2.0
converted,0,1,1.0
erected as,0,1,1.0
not derived from,0,1,1.0
able to,0,1,1.0
captured by,0,1,1.0
possessed,0,1,1.0
recalled,0,2,2.0
home to,0,2,2.0
posted,0,1,1.0
compiled from,0,1,1.0
to be dredged,0,1,1.0
ancestors,0,1,1.0
tipped,0,1,1.0
dammed,0,1,1.0
decorations,0,1,1.0
promoted with,0,1,1.0
equipped,0,2,2.0
mentioned as,0,1,1.0
located at,0,2,2.0
enshrined,0,1,1.0
seen,0,1,1.0
pillars,0,1,1.0
created by,0,1,1.0
been included,0,1,1.0
style,0,1,1.0
based in,0,1,1.0
located inside,0,1,1.0
owned by,0,1,1.0
official start,0,1,1.0
christened,0,1,1.0
held in,0,2,2.0
commanded by,0,1,1.0
defeated by,0,1,1.0
to be completed,0,1,1.0
a replica of,0,1,1.0
likely,0,5,5.0
thoroughly renovated,0,1,1.0
being constructed,0,1,1.0
burned,0,1,1.0
married to,0,1,1.0
cut,0,1,1.0
released on,0,1,1.0
rebuilt,0,1,1.0
removed,0,3,3.0
used by,0,1,1.0
transformed,0,1,1.0
informed,0,2,2.0
could,0,3,3.0
engine,0,1,1.0
the year,0,2,2.0
the location of,0,1,1.0
dealt with,0,1,1.0
erected over,0,1,1.0
portrayed,0,2,2.0
re designated,0,1,1.0
population,0,1,1.0
requested,0,2,2.0
background,0,1,1.0
used as,0,1,1.0
reprieved,0,1,1.0
on,0,1,1.0
caused by,0,1,1.0
charged with,0,1,1.0
not navigable,0,1,1.0
nature,0,2,2.0
redesigned,0,1,1.0
closely connected with,0,1,1.0
merged with,0,2,2.0
a subfamily of,0,1,1.0
not accepted as,0,1,1.0
laid to rest,0,1,1.0
a binding of,0,1,1.0
erected into,0,1,1.0
produced for,0,1,1.0
involved in a disagreement,0,1,1.0
reported by,0,1,1.0
casting,0,1,1.0
without,0,1,1.0
from,0,1,1.0
honor,0,1,1.0
used for,0,1,1.0
important,0,1,1.0
barely hearable,0,2,2.0
should,0,1,1.0
originally named,0,1,1.0
crushed,0,2,2.0
pressured by,0,1,1.0
reported to,0,1,1.0
been executed,0,1,1.0
transmission,0,1,1.0
held by,0,1,1.0
reviewed by,0,1,1.0
established to,0,1,1.0
appointed as,0,1,1.0
evolved,0,1,1.0
unaware,0,1,1.0
responsible for,0,1,1.0
excised,0,1,1.0
tempered,0,1,1.0
adapted to,0,1,1.0
the name of,0,1,1.0
played by,0,1,1.0
proven,0,3,3.0
located west of,0,1,1.0
for,0,2,2.0
located near,0,3,3.0
buried,0,1,1.0
designed,0,1,1.0
been joined by,0,1,1.0
shown,0,1,1.0
base,0,1,1.0
quenched by,0,1,1.0
storyline elements,0,1,1.0
preceded by,0,1,1.0
flushed,0,1,1.0
a,0,1,1.0
visually,0,1,1.0
mecha,0,1,1.0
cross section,0,1,1.0
common in,0,1,1.0
