sentence_id,sentence,Subject,Predicate,Object
dev_0267,"This font contains many largely recognized shapes and gestures as well as some recognized world symbols , such as the Star of David , the symbols of the zodiac , index or manicle signs and obscure ampersands .",recognized world symbols,are such as,the Star of David
dev_0267,"This font contains many largely recognized shapes and gestures as well as some recognized world symbols , such as the Star of David , the symbols of the zodiac , index or manicle signs and obscure ampersands .",recognized world symbols,are such as,the symbols of the zodiac
dev_0267,"This font contains many largely recognized shapes and gestures as well as some recognized world symbols , such as the Star of David , the symbols of the zodiac , index or manicle signs and obscure ampersands .",recognized world symbols,are such as,index signs
dev_0267,"This font contains many largely recognized shapes and gestures as well as some recognized world symbols , such as the Star of David , the symbols of the zodiac , index or manicle signs and obscure ampersands .",recognized world symbols,are such as,manicle signs
dev_0267,"This font contains many largely recognized shapes and gestures as well as some recognized world symbols , such as the Star of David , the symbols of the zodiac , index or manicle signs and obscure ampersands .",recognized world symbols,are such as,obscure ampersands
dev_0267,"This font contains many largely recognized shapes and gestures as well as some recognized world symbols , such as the Star of David , the symbols of the zodiac , index or manicle signs and obscure ampersands .",This font,contains,the Star of David
dev_0267,"This font contains many largely recognized shapes and gestures as well as some recognized world symbols , such as the Star of David , the symbols of the zodiac , index or manicle signs and obscure ampersands .",This font,contains,the symbols of the zodiac
dev_0267,"This font contains many largely recognized shapes and gestures as well as some recognized world symbols , such as the Star of David , the symbols of the zodiac , index or manicle signs and obscure ampersands .",This font,contains,index signs
dev_0267,"This font contains many largely recognized shapes and gestures as well as some recognized world symbols , such as the Star of David , the symbols of the zodiac , index or manicle signs and obscure ampersands .",This font,contains,manicle signs
dev_0267,"This font contains many largely recognized shapes and gestures as well as some recognized world symbols , such as the Star of David , the symbols of the zodiac , index or manicle signs and obscure ampersands .",This font,contains,obscure ampersands
dev_0171,Passenger services on the line were terminated on 31 December 1954 .,Passenger services,were terminated on,the line
dev_0030,"Sikorsky and Boeing say that factors outside their control , like budget cuts , `` requirement creep , '' and a long development period caused problems with the Comanche and not team dysfunctionality .",Sikorsky,says that,factors outside their control caused problems with the Comanche
dev_0030,"Sikorsky and Boeing say that factors outside their control , like budget cuts , `` requirement creep , '' and a long development period caused problems with the Comanche and not team dysfunctionality .",Sikorsky,says that,team dysfunctionality did not cause problems with the Comanche
dev_0030,"Sikorsky and Boeing say that factors outside their control , like budget cuts , `` requirement creep , '' and a long development period caused problems with the Comanche and not team dysfunctionality .",Boeing,says that,factors outside their control caused problems with the Comanche
dev_0030,"Sikorsky and Boeing say that factors outside their control , like budget cuts , `` requirement creep , '' and a long development period caused problems with the Comanche and not team dysfunctionality .",Boeing,says that,team dysfunctionality did not cause problems with the Comanche
dev_0030,"Sikorsky and Boeing say that factors outside their control , like budget cuts , `` requirement creep , '' and a long development period caused problems with the Comanche and not team dysfunctionality .",factors outside their control,are like,budget cuts
dev_0030,"Sikorsky and Boeing say that factors outside their control , like budget cuts , `` requirement creep , '' and a long development period caused problems with the Comanche and not team dysfunctionality .",factors outside their control,are like,`` requirement creep ''
dev_0030,"Sikorsky and Boeing say that factors outside their control , like budget cuts , `` requirement creep , '' and a long development period caused problems with the Comanche and not team dysfunctionality .",factors outside their control,are like,a long development period
dev_0030,"Sikorsky and Boeing say that factors outside their control , like budget cuts , `` requirement creep , '' and a long development period caused problems with the Comanche and not team dysfunctionality .",problems,were with,the Comanche
dev_0030,"Sikorsky and Boeing say that factors outside their control , like budget cuts , `` requirement creep , '' and a long development period caused problems with the Comanche and not team dysfunctionality .",the Comanche development period,was,long
dev_0216,"`` Billboard '' magazine ranked the album thirty-second in the decade-end recap of the most successful albums of the 2000s , while placing it twelfth in the R&B field .",`` Billboard '',is,a magazine
dev_0216,"`` Billboard '' magazine ranked the album thirty-second in the decade-end recap of the most successful albums of the 2000s , while placing it twelfth in the R&B field .",`` Billboard '' magazine,ranked the album,thirty-second
dev_0216,"`` Billboard '' magazine ranked the album thirty-second in the decade-end recap of the most successful albums of the 2000s , while placing it twelfth in the R&B field .",`` Billboard '' magazine,was placing the album,twelfth
dev_0216,"`` Billboard '' magazine ranked the album thirty-second in the decade-end recap of the most successful albums of the 2000s , while placing it twelfth in the R&B field .",the album,was of,the 2000s
dev_0216,"`` Billboard '' magazine ranked the album thirty-second in the decade-end recap of the most successful albums of the 2000s , while placing it twelfth in the R&B field .",`` Billboard '' magazine recap,was,decade-end
dev_0255,"`` Video Concert Hall '' ran daily on USA Network from 1978 to 1981 on a seemingly arbitrary schedule , appearing on early morning , daytime , late night , and early evening timeslots alike for durations ranging from one to four hours .",`` Video Concert Hall  '',ran daily on,USA Network
dev_0255,"`` Video Concert Hall '' ran daily on USA Network from 1978 to 1981 on a seemingly arbitrary schedule , appearing on early morning , daytime , late night , and early evening timeslots alike for durations ranging from one to four hours .",`` Video Concert Hall '',ran daily on,USA Network on a seemingly arbitrary schedule
dev_0255,"`` Video Concert Hall '' ran daily on USA Network from 1978 to 1981 on a seemingly arbitrary schedule , appearing on early morning , daytime , late night , and early evening timeslots alike for durations ranging from one to four hours .",`` Video Concert Hall '',is appearing on,"early morning , daytime , late night , and early evening timeslots alike"
dev_0255,"`` Video Concert Hall '' ran daily on USA Network from 1978 to 1981 on a seemingly arbitrary schedule , appearing on early morning , daytime , late night , and early evening timeslots alike for durations ranging from one to four hours .",`` Video Concert Hall '',ran daily on USA Network,for durations ranging from one to four hours
dev_0255,"`` Video Concert Hall '' ran daily on USA Network from 1978 to 1981 on a seemingly arbitrary schedule , appearing on early morning , daytime , late night , and early evening timeslots alike for durations ranging from one to four hours .",`` Video Concert Hall '',ran daily on USA Network from 1978 to 1981 on,a seemingly arbitrary schedule
dev_0255,"`` Video Concert Hall '' ran daily on USA Network from 1978 to 1981 on a seemingly arbitrary schedule , appearing on early morning , daytime , late night , and early evening timeslots alike for durations ranging from one to four hours .",`` Video Concert Hall '',"is appearing on early morning , daytime, late night , and early evening timeslots alike for",durations ranging from one to four hours
dev_0255,"`` Video Concert Hall '' ran daily on USA Network from 1978 to 1981 on a seemingly arbitrary schedule , appearing on early morning , daytime , late night , and early evening timeslots alike for durations ranging from one to four hours .",`` Video Concert Hall '',ran daily on USA Network from 1978 to 1981 on a seemingly arbitrary schedule,"appearing on early morning , daytime , late night , and early evening timeslots alike for durations ranging from one to four hours"
dev_0255,"`` Video Concert Hall '' ran daily on USA Network from 1978 to 1981 on a seemingly arbitrary schedule , appearing on early morning , daytime , late night , and early evening timeslots alike for durations ranging from one to four hours .",`` Video Concert Hall '',is appearing on,"early morning , daytime , late night , and early evening timeslots alike for durations ranging from one to four hours"
dev_0266,The district also provides recreation and leisure services to many non-residents of the area on a fee basis .,The district,also provides to many non-residents of the area on a fee basis,recreation services
dev_0266,The district also provides recreation and leisure services to many non-residents of the area on a fee basis .,The district,also provides to many non-residents of the area on a fee basis,leisure services
dev_0278,"The lodge also hosts fellowship events , conclaves , training events , and an annual family banquet , and supports the council activities at Council-run events .",The lodge,hosts,fellowship events
dev_0278,"The lodge also hosts fellowship events , conclaves , training events , and an annual family banquet , and supports the council activities at Council-run events .",The lodge,hosts,conclaves
dev_0278,"The lodge also hosts fellowship events , conclaves , training events , and an annual family banquet , and supports the council activities at Council-run events .",The lodge,hosts,training events
dev_0278,"The lodge also hosts fellowship events , conclaves , training events , and an annual family banquet , and supports the council activities at Council-run events .",The lodge,hosts,an annual family banquet
dev_0278,"The lodge also hosts fellowship events , conclaves , training events , and an annual family banquet , and supports the council activities at Council-run events .",The lodge,supports,the council activities at Council-run events
dev_0357,"In `` The Scarpetta Factor , '' she is working full-time and Wesley is working part-time in New York .",she,is working In `` The Scarpetta Factor '',full-time
dev_0357,"In `` The Scarpetta Factor , '' she is working full-time and Wesley is working part-time in New York .",Wesley,is working In `` The Scarpetta Factor '',part-time
dev_0357,"In `` The Scarpetta Factor , '' she is working full-time and Wesley is working part-time in New York .",she,is In,`` The Scarpetta Factor ''
dev_0357,"In `` The Scarpetta Factor , '' she is working full-time and Wesley is working part-time in New York .",Wesley,is In,`` The Scarpetta Factor ''
dev_0231,"Though this time , the Brumbies won , 47 to 38 in front of a record crowd at Canberra Stadium .",the Brumbies,won,47 to 38
dev_0231,"Though this time , the Brumbies won , 47 to 38 in front of a record crowd at Canberra Stadium .",the Brumbies,won in front of,a record crowd
dev_0084,"Dangaioh 's characters , mecha , and storyline elements appeared in Banpresto 's `` Super Robot Wars '' games .",Dangaioh 's characters,appeared in,Banpresto 's `` Super Robot Wars '' games
dev_0084,"Dangaioh 's characters , mecha , and storyline elements appeared in Banpresto 's `` Super Robot Wars '' games .",Dangaioh 's mecha,appeared in,Banpresto 's `` Super Robot Wars '' games
dev_0084,"Dangaioh 's characters , mecha , and storyline elements appeared in Banpresto 's `` Super Robot Wars '' games .",Dangaioh 's storyline elements,appeared in,Banpresto 's `` Super Robot Wars '' games
dev_0084,"Dangaioh 's characters , mecha , and storyline elements appeared in Banpresto 's `` Super Robot Wars '' games .",`` Super Robot Wars '',are,games
dev_0084,"Dangaioh 's characters , mecha , and storyline elements appeared in Banpresto 's `` Super Robot Wars '' games .",Banpresto,has,`` Super Robot Wars '' games
dev_0084,"Dangaioh 's characters , mecha , and storyline elements appeared in Banpresto 's `` Super Robot Wars '' games .",Dangaioh,has,characters
dev_0084,"Dangaioh 's characters , mecha , and storyline elements appeared in Banpresto 's `` Super Robot Wars '' games .",Dangaioh,has,mecha
dev_0084,"Dangaioh 's characters , mecha , and storyline elements appeared in Banpresto 's `` Super Robot Wars '' games .",Dangaioh,has,storyline elements
dev_0050,"From the , 275 or 26.1 % were Roman Catholic , while 624 or 59.3 % belonged to the Swiss Reformed Church .",275,were,Roman Catholic
dev_0050,"From the , 275 or 26.1 % were Roman Catholic , while 624 or 59.3 % belonged to the Swiss Reformed Church .",26.1 %,were,Roman Catholic
dev_0050,"From the , 275 or 26.1 % were Roman Catholic , while 624 or 59.3 % belonged to the Swiss Reformed Church .",275,is,26.1 %
dev_0050,"From the , 275 or 26.1 % were Roman Catholic , while 624 or 59.3 % belonged to the Swiss Reformed Church .",624,belonged to,the Swiss Reformed Church
dev_0050,"From the , 275 or 26.1 % were Roman Catholic , while 624 or 59.3 % belonged to the Swiss Reformed Church .",59.3 %,belonged to,the Swiss Reformed Church
dev_0050,"From the , 275 or 26.1 % were Roman Catholic , while 624 or 59.3 % belonged to the Swiss Reformed Church .",624,is,59.3 %
dev_0316,"Porter wrote in 1980 that strategy target either cost leadership , differentiation , or focus .",Porter,wrote that strategy target either,cost leadership
dev_0316,"Porter wrote in 1980 that strategy target either cost leadership , differentiation , or focus .",Porter,wrote that strategy target either,differentiation
dev_0316,"Porter wrote in 1980 that strategy target either cost leadership , differentiation , or focus .",Porter,wrote that strategy target either,focus
dev_0166,A better alternative in order to find the best possible results would be to use the Smith-Waterman algorithm .,A better alternative,would be to use,the Smith-Waterman algorithm
dev_0112,"On 19 October 2010 , Tuqiri was officially named in the Australian squad for the Four Nations as a replacement for the injured Jarryd Hayne .",Tuqiri,was officially named as,a replacement for the injured Jarryd Hayne
dev_0067,It 's recommended to have only two males and a dozen or so females .,It,is recommended to have,only two males
dev_0067,It 's recommended to have only two males and a dozen or so females .,It,is recommended to have,a dozen or so females
dev_0013,"According to available information , the Maoists of Nepal have well-established linkages with Indian revolutionary communist organizations , primarily with the Communist Party of India , currently leading a protracted `` people 's war '' throughout the subcontinent .",the Maoists of Nepal,According to available information have well-established linkages with,Indian revolutionary communist organizations
dev_0013,"According to available information , the Maoists of Nepal have well-established linkages with Indian revolutionary communist organizations , primarily with the Communist Party of India , currently leading a protracted `` people 's war '' throughout the subcontinent .",the Maoists of Nepal,According to available information have well-established linkages primarily with,the Communist Party of India
dev_0013,"According to available information , the Maoists of Nepal have well-established linkages with Indian revolutionary communist organizations , primarily with the Communist Party of India , currently leading a protracted `` people 's war '' throughout the subcontinent .",the Maoists of Nepal,According to available information are leading,a protracted `` people 's war ''
dev_0384,"Its objective is to organize in-service Continuous Capacity Building and professional development training sessions , workshops and local and international conferences for enhancement of skills and competitive strength of faculty , staff and M.Phil and PhD students at their campuses .",Its objective is,the enhancement of skills and competitive strength of,"faculty , staff and M.Phil and PhD students"
dev_0384,"Its objective is to organize in-service Continuous Capacity Building and professional development training sessions , workshops and local and international conferences for enhancement of skills and competitive strength of faculty , staff and M.Phil and PhD students at their campuses .",Its objective is,to organize in-service,Continuous Capacity Building and professional development training sessions
dev_0384,"Its objective is to organize in-service Continuous Capacity Building and professional development training sessions , workshops and local and international conferences for enhancement of skills and competitive strength of faculty , staff and M.Phil and PhD students at their campuses .",Its objective is,to organize,workshops and local and international conferences
dev_0384,"Its objective is to organize in-service Continuous Capacity Building and professional development training sessions , workshops and local and international conferences for enhancement of skills and competitive strength of faculty , staff and M.Phil and PhD students at their campuses .",Continuous Capacity Building and professional development training sessions,for enhancement of skills and competitive strength of,"faculty , staff and M.Phil and PhD students"
dev_0384,"Its objective is to organize in-service Continuous Capacity Building and professional development training sessions , workshops and local and international conferences for enhancement of skills and competitive strength of faculty , staff and M.Phil and PhD students at their campuses .",workshops and local and international conferences,for enhancement of skills and competitive strength of,"faculty , staff and M.Phil and PhD students"
dev_0150,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton .",Peter Bywaters,offers,personal English as a second language
dev_0150,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton .",Peter Bywaters,offers,tuition on a live-in basis
dev_0150,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton .",Peter Bywaters,has his home,in Brighton
dev_0241,"In November 1998 , the company suffered a public relations embarrassment when its sales flyer featured a prominent photograph of two grinning boys playing the board game `` Scrabble '' with the word `` RAPE '' spelled out in the center of the board , buried amongst nonsense words .",the company,suffered,a public relations embarrassment
dev_0241,"In November 1998 , the company suffered a public relations embarrassment when its sales flyer featured a prominent photograph of two grinning boys playing the board game `` Scrabble '' with the word `` RAPE '' spelled out in the center of the board , buried amongst nonsense words .",the company's sales flyer,featured,"a prominent photograph of two grinning boys playing the board game `` Scrabble '' with the word `` RAPE '' spelled out in the center of the board , buried amongst nonsense words"
dev_0241,"In November 1998 , the company suffered a public relations embarrassment when its sales flyer featured a prominent photograph of two grinning boys playing the board game `` Scrabble '' with the word `` RAPE '' spelled out in the center of the board , buried amongst nonsense words .",the company,had a,sales flyer
dev_0241,"In November 1998 , the company suffered a public relations embarrassment when its sales flyer featured a prominent photograph of two grinning boys playing the board game `` Scrabble '' with the word `` RAPE '' spelled out in the center of the board , buried amongst nonsense words .",two grinning boys,were playing,the board game `` Scrabble ''
dev_0241,"In November 1998 , the company suffered a public relations embarrassment when its sales flyer featured a prominent photograph of two grinning boys playing the board game `` Scrabble '' with the word `` RAPE '' spelled out in the center of the board , buried amongst nonsense words .",the word `` RAPE '',was spelled out in,the center of the `` Scrabble '' board
dev_0241,"In November 1998 , the company suffered a public relations embarrassment when its sales flyer featured a prominent photograph of two grinning boys playing the board game `` Scrabble '' with the word `` RAPE '' spelled out in the center of the board , buried amongst nonsense words .",`` Scrabble '',is,a board game
dev_0241,"In November 1998 , the company suffered a public relations embarrassment when its sales flyer featured a prominent photograph of two grinning boys playing the board game `` Scrabble '' with the word `` RAPE '' spelled out in the center of the board , buried amongst nonsense words .",the word `` RAPE '',was buried amongst,nonsense words
dev_0241,"In November 1998 , the company suffered a public relations embarrassment when its sales flyer featured a prominent photograph of two grinning boys playing the board game `` Scrabble '' with the word `` RAPE '' spelled out in the center of the board , buried amongst nonsense words .",`` RAPE '',is,a word
dev_0241,"In November 1998 , the company suffered a public relations embarrassment when its sales flyer featured a prominent photograph of two grinning boys playing the board game `` Scrabble '' with the word `` RAPE '' spelled out in the center of the board , buried amongst nonsense words .",a photograph of two grinning boys playing the board game `` Scrabble '' with the word `` RAPE '' spelled out in the center of the board,was prominent,on the company's sales flyer
dev_0177,"Centuries later , in 1806 , during the Napoleonic era , was built the Canal de l'Ourcq , destined to the inland navigation when the Marne river is not navigable because of temporary sandbanks .",the Canal de l'Ourcq,was built,during the Napoleonic era
dev_0177,"Centuries later , in 1806 , during the Napoleonic era , was built the Canal de l'Ourcq , destined to the inland navigation when the Marne river is not navigable because of temporary sandbanks .",the Canal de l'Ourcq,was built,Centuries later
dev_0177,"Centuries later , in 1806 , during the Napoleonic era , was built the Canal de l'Ourcq , destined to the inland navigation when the Marne river is not navigable because of temporary sandbanks .",the Canal de l'Ourcq,was built,in 1806
dev_0177,"Centuries later , in 1806 , during the Napoleonic era , was built the Canal de l'Ourcq , destined to the inland navigation when the Marne river is not navigable because of temporary sandbanks .",the Canal de l'Ourcq,is destined to the inland navigation,when the Marne river is not navigable because of temporary sandbanks
dev_0039,"Instead of having system calls specifically for process management , Plan 9 provides the codice_13 file system .",Plan 9,provides,the codice_13 file system
dev_0039,"Instead of having system calls specifically for process management , Plan 9 provides the codice_13 file system .",the codice_13 file system,is Instead of having,system calls specifically for process management
dev_0262,"His main power , the Omega Beam , is a form of energy that he fires from his eyes as either a concussive force or disintegrating energy , capable of transmuting or erasing living objects and organisms from existence as well as resurrecting them , depending on the dark lord 's will .",His main power,is,the Omega Beam
dev_0262,"His main power , the Omega Beam , is a form of energy that he fires from his eyes as either a concussive force or disintegrating energy , capable of transmuting or erasing living objects and organisms from existence as well as resurrecting them , depending on the dark lord 's will .",the Omega Beam,is,a form of energy
dev_0262,"His main power , the Omega Beam , is a form of energy that he fires from his eyes as either a concussive force or disintegrating energy , capable of transmuting or erasing living objects and organisms from existence as well as resurrecting them , depending on the dark lord 's will .",the Omega Beam,is a form of that he fires from,his eyes
dev_0262,"His main power , the Omega Beam , is a form of energy that he fires from his eyes as either a concussive force or disintegrating energy , capable of transmuting or erasing living objects and organisms from existence as well as resurrecting them , depending on the dark lord 's will .",the Omega Beam,fires from his eyes as,a concussive force
dev_0262,"His main power , the Omega Beam , is a form of energy that he fires from his eyes as either a concussive force or disintegrating energy , capable of transmuting or erasing living objects and organisms from existence as well as resurrecting them , depending on the dark lord 's will .",the Omega Beam,fires from his eyes as,disintegrating energy
dev_0262,"His main power , the Omega Beam , is a form of energy that he fires from his eyes as either a concussive force or disintegrating energy , capable of transmuting or erasing living objects and organisms from existence as well as resurrecting them , depending on the dark lord 's will .",the Omega Beam disintegrating energy,is capable of transmuting,living objects
dev_0262,"His main power , the Omega Beam , is a form of energy that he fires from his eyes as either a concussive force or disintegrating energy , capable of transmuting or erasing living objects and organisms from existence as well as resurrecting them , depending on the dark lord 's will .",the Omega Beam disintegrating energy,is capable of erasing,living objects
dev_0262,"His main power , the Omega Beam , is a form of energy that he fires from his eyes as either a concussive force or disintegrating energy , capable of transmuting or erasing living objects and organisms from existence as well as resurrecting them , depending on the dark lord 's will .",the Omega Beam disintegrating energy,is capable of transmuting,organisms
dev_0262,"His main power , the Omega Beam , is a form of energy that he fires from his eyes as either a concussive force or disintegrating energy , capable of transmuting or erasing living objects and organisms from existence as well as resurrecting them , depending on the dark lord 's will .",the Omega Beam disintegrating energy,is capable of erasing,organisms
dev_0262,"His main power , the Omega Beam , is a form of energy that he fires from his eyes as either a concussive force or disintegrating energy , capable of transmuting or erasing living objects and organisms from existence as well as resurrecting them , depending on the dark lord 's will .",the Omega Beam disintegrating energy,is capable of resurrecting,living objects
dev_0262,"His main power , the Omega Beam , is a form of energy that he fires from his eyes as either a concussive force or disintegrating energy , capable of transmuting or erasing living objects and organisms from existence as well as resurrecting them , depending on the dark lord 's will .",the Omega Beam disintegrating energy,is capable of resurrecting,organisms
dev_0262,"His main power , the Omega Beam , is a form of energy that he fires from his eyes as either a concussive force or disintegrating energy , capable of transmuting or erasing living objects and organisms from existence as well as resurrecting them , depending on the dark lord 's will .",the Omega Beam,depending on the,dark lord 's will
dev_0027,"Rockwell and NASA thus retroactively re-designated the MPTA as MPTA-098 , though it was never christened with a name .",Rockwell,thus retroactively re-designated,the MPTA
dev_0027,"Rockwell and NASA thus retroactively re-designated the MPTA as MPTA-098 , though it was never christened with a name .",NASA,thus retroactively re-designated,the MPTA
dev_0027,"Rockwell and NASA thus retroactively re-designated the MPTA as MPTA-098 , though it was never christened with a name .",the MPTA,was retroactively re-designated as,MPTA-098
dev_0027,"Rockwell and NASA thus retroactively re-designated the MPTA as MPTA-098 , though it was never christened with a name .",MPTA-098,"though , was never christened with",a name
dev_0052,Maduveya Vayasu song from nanjundi kalyana was a track played during marriages for many many years in Kannada .,Maduveya Vayasu,is,a song
dev_0052,Maduveya Vayasu song from nanjundi kalyana was a track played during marriages for many many years in Kannada .,Maduveya Vayasu song,is from,nanjundi kalyana
dev_0052,Maduveya Vayasu song from nanjundi kalyana was a track played during marriages for many many years in Kannada .,Maduveya Vayasu song,was a track played during,marriages
dev_0125,"Kabul had textile , cotton production , and carpet production industries , but most of its economy came through tourism which it lost during its destruction .",Kabul,had,textile industries
dev_0125,"Kabul had textile , cotton production , and carpet production industries , but most of its economy came through tourism which it lost during its destruction .",Kabul,had,cotton production industries
dev_0125,"Kabul had textile , cotton production , and carpet production industries , but most of its economy came through tourism which it lost during its destruction .",Kabul,had,carpet production industries
dev_0125,"Kabul had textile , cotton production , and carpet production industries , but most of its economy came through tourism which it lost during its destruction .",Kabul,lost,tourism
dev_0125,"Kabul had textile , cotton production , and carpet production industries , but most of its economy came through tourism which it lost during its destruction .",Kabul,had,destruction
dev_0125,"Kabul had textile , cotton production , and carpet production industries , but most of its economy came through tourism which it lost during its destruction .",most of its economy,came through,tourism
dev_0125,"Kabul had textile , cotton production , and carpet production industries , but most of its economy came through tourism which it lost during its destruction .",textile industries,are in,Kabul
dev_0125,"Kabul had textile , cotton production , and carpet production industries , but most of its economy came through tourism which it lost during its destruction .",cotton production industries,are in,Kabul
dev_0125,"Kabul had textile , cotton production , and carpet production industries , but most of its economy came through tourism which it lost during its destruction .",carpet production industries,are in,Kabul
dev_0208,An `` Dangaioh '' adventure game was released for the PC-8801 in Japan in April 1990 .,Dangaioh,is,an adventure game
dev_0208,An `` Dangaioh '' adventure game was released for the PC-8801 in Japan in April 1990 .,An `` Dangaioh '' adventure game,was released for,the PC-8801
dev_0235,"From 1698 to 1843 the famous organ built by Arp Schnitger , one of the Baroque period 's best known organ makers was the main organ .",the famous organ built by Arp Schnitger,was,the main organ
dev_0235,"From 1698 to 1843 the famous organ built by Arp Schnitger , one of the Baroque period 's best known organ makers was the main organ .",Arp Schnitger,was,one of the best known organ makers
dev_0096,"Instead he awoke when a smaller meteorite hit the Earth in 1992 , seven years too early .",he,Instead awoke,when a smaller meteorite hit the Earth in 1992
dev_0096,"Instead he awoke when a smaller meteorite hit the Earth in 1992 , seven years too early .",he,Instead awoke,seven years too early
dev_0096,"Instead he awoke when a smaller meteorite hit the Earth in 1992 , seven years too early .",a smaller meteorite,hit,the Earth
dev_0210,"On October 14 , 2012 , Sidney Rice caught the game winning touchdown from a 46-yard pass from Russell Wilson to beat the New England Patriots 24-23 .",Sidney Rice,caught,the game winning touchdown
dev_0210,"On October 14 , 2012 , Sidney Rice caught the game winning touchdown from a 46-yard pass from Russell Wilson to beat the New England Patriots 24-23 .",Sidney Rice,caught a 46-yard pass from,Russell Wilson
dev_0210,"On October 14 , 2012 , Sidney Rice caught the game winning touchdown from a 46-yard pass from Russell Wilson to beat the New England Patriots 24-23 .",the New England Patriots,were beat,24-23
dev_0210,"On October 14 , 2012 , Sidney Rice caught the game winning touchdown from a 46-yard pass from Russell Wilson to beat the New England Patriots 24-23 .",the game winning touchdown,beat,the New England Patriots
dev_0210,"On October 14 , 2012 , Sidney Rice caught the game winning touchdown from a 46-yard pass from Russell Wilson to beat the New England Patriots 24-23 .",a 46-yard pass,was from,Russell Wilson
dev_0089,"Thus , any event that would minimize such a surface is entropically favored .",any event,that would minimize such a surface is,entropically favored
dev_0137,The theatrical flourishes and unique gimmicks she used in her stage show went beyond established burlesque routines like the fan dance and balloon dance .,she,used,theatrical flourishes and unique gimmicks
dev_0137,The theatrical flourishes and unique gimmicks she used in her stage show went beyond established burlesque routines like the fan dance and balloon dance .,the fan dance and balloon dance,are,established burlesque routines
dev_0137,The theatrical flourishes and unique gimmicks she used in her stage show went beyond established burlesque routines like the fan dance and balloon dance .,she,was in a,stage show
dev_0271,Latchford viaduct was opened on 8 July 1893 to carry the London and North Western Railway 's Stockport to Warrington line over the Manchester Ship Canal .,Latchford viaduct,was opened to carry,the London and North Western Railway's Stockport to Warrington line over the Manchester Ship Canal
dev_0271,Latchford viaduct was opened on 8 July 1893 to carry the London and North Western Railway 's Stockport to Warrington line over the Manchester Ship Canal .,Latchford viaduct,to carry the London and North Western Railway 's Stockport to,Warrington line over the Manchester Ship Canal
dev_0271,Latchford viaduct was opened on 8 July 1893 to carry the London and North Western Railway 's Stockport to Warrington line over the Manchester Ship Canal .,Latchford viaduct,was opened to carry the London and North Western Railway 's Stockport to Warrington line over,the Manchester Ship Canal
dev_0271,Latchford viaduct was opened on 8 July 1893 to carry the London and North Western Railway 's Stockport to Warrington line over the Manchester Ship Canal .,Latchford viaduct,was opened,to carry the London and North Western Railway 's Stockport to Warrington line over the Manchester Ship Canal
dev_0383,At the end of 2008 the Uzbek-Italian Joint Venture Roison-Candy was established by the Uzbek Limited Liability Company Roison Electronics with partnership of Candy Group .,Roison-Candy,is,an Uzbek-Italian Joint Venture
dev_0383,At the end of 2008 the Uzbek-Italian Joint Venture Roison-Candy was established by the Uzbek Limited Liability Company Roison Electronics with partnership of Candy Group .,Roison-Candy,was established by,Roison Electronics with partnership of Candy Group
dev_0383,At the end of 2008 the Uzbek-Italian Joint Venture Roison-Candy was established by the Uzbek Limited Liability Company Roison Electronics with partnership of Candy Group .,Roison Electronics,is,an Uzbek Limited Liability Company
dev_0369,The weapons do not influence the other racers at all .,The weapons,do not influence at all,the other racers
dev_0253,"Excluding the special editions , the 2004-2005 Ram SRT-10 came in three colors : Brilliant Black Crystal Pearl Coat , Bright Silver Metallic Clear Coat , and Flame Red Clear Coat .",the Ram SRT-10,"Excluding the special editions , came in",three colors
dev_0253,"Excluding the special editions , the 2004-2005 Ram SRT-10 came in three colors : Brilliant Black Crystal Pearl Coat , Bright Silver Metallic Clear Coat , and Flame Red Clear Coat .",the Ram SRT-10,came in,Brilliant Black Crystal Pearl Coat
dev_0253,"Excluding the special editions , the 2004-2005 Ram SRT-10 came in three colors : Brilliant Black Crystal Pearl Coat , Bright Silver Metallic Clear Coat , and Flame Red Clear Coat .",the Ram SRT-10,came in,Bright Silver Metallic Clear Coat
dev_0253,"Excluding the special editions , the 2004-2005 Ram SRT-10 came in three colors : Brilliant Black Crystal Pearl Coat , Bright Silver Metallic Clear Coat , and Flame Red Clear Coat .",the Ram SRT-10,came in,Flame Red Clear Coat
dev_0253,"Excluding the special editions , the 2004-2005 Ram SRT-10 came in three colors : Brilliant Black Crystal Pearl Coat , Bright Silver Metallic Clear Coat , and Flame Red Clear Coat .",the Ram SRT-10,has,special editions
dev_0329,"On 15 January 1999 , Senchuk was appointed as governor of the Lviv region ; for some time he combined two posts .",Senchuk,was appointed as,governor of
dev_0329,"On 15 January 1999 , Senchuk was appointed as governor of the Lviv region ; for some time he combined two posts .",Senchuk,combined,two posts
dev_0128,The school was founded in 1851 as the German-English Academy by a group of Milwaukee German Americans that included educationist Peter Engelmann and hardware wholesaler William Frankfurth .,The school,was founded as,the German-English Academy
dev_0128,The school was founded in 1851 as the German-English Academy by a group of Milwaukee German Americans that included educationist Peter Engelmann and hardware wholesaler William Frankfurth .,The German-English Academy,was founded by,a group of Milwaukee German Americans
dev_0128,The school was founded in 1851 as the German-English Academy by a group of Milwaukee German Americans that included educationist Peter Engelmann and hardware wholesaler William Frankfurth .,The Milwaukee German Americans,was,a group
